ticker,date,stage,entry_type,pnl_r,outcome,win,confidence,grade_a_rate,expected_r,risk_r,gap_pct,pm_high_pct,prev_close,entry_price,market_cap,win_streak,loss_streak,month
IMNN,2025-05-23,high_and_tight,opening_fbo,2.567288184146021,grade_a,1,0.8,0.8,2.1,0.4,205.64627733185716,234.54193191253805,5.4195,16.5645,,8,0,2025-05
SBET,2025-05-27,frontside,opening_fbo,2.2093663544096085,grade_a,1,0.75,0.75,1.8,0.5,404.91071428571433,695.3869047619048,6.72,33.93,,9,0,2025-05
SGN,2025-05-28,frontside,opening_fbo,0.4254979606512737,grade_b,1,0.75,0.75,1.8,0.5,281.9277108433735,414.4457831325301,0.83,3.17,,10,0,2025-05
LVWR,2025-05-28,deep_backside,opening_fbo,1.0139968299695032,grade_a,1,0.75,0.75,1.6,0.4,44.53125000000001,82.421875,2.56,3.7,,11,0,2025-05
ALZN,2025-05-29,backside_pop,opening_fbo,1.199260980264377,grade_a,1,0.728,0.728,1.8,0.4,133.73493975903614,147.59036144578317,3.32,7.76,,12,0,2025-05
HCTI,2025-05-29,backside_pop,opening_fbo,1.0893787162124786,grade_a,1,0.728,0.728,1.8,0.4,105.17241379310344,120.6896551724138,1.4442,2.9631,,13,0,2025-05
ZEO,2025-05-29,backside_pop,opening_fbo,1.4951543793357915,grade_a,1,0.728,0.728,1.8,0.4,80.37974683544303,119.62025316455696,1.58,2.85,,14,0,2025-05
WETO,2025-05-29,backside_pop,opening_fbo,1.9230121777604605,grade_a,1,0.728,0.728,1.8,0.4,97.44897959183676,116.83673469387756,1.96,3.87,,15,0,2025-05
GITS,2025-05-30,high_and_tight,opening_fbo,2.426097745788288,grade_a,1,0.8,0.8,2.1,0.4,217.89473684210532,228.4105263157895,0.95,3.0200000000000005,,16,0,2025-05
BLRX,2025-05-30,backside_pop,opening_fbo,0.1823602682433556,grade_b,1,0.728,0.728,1.8,0.4,54.84449602996649,104.96188240259568,3.7909,5.87,,17,0,2025-05
BSLK,2025-05-30,deep_backside,opening_fbo,0.9688992729612895,grade_a,1,0.75,0.75,1.6,0.4,75.13812154696132,96.13259668508285,1.81,3.17,,18,0,2025-05
