ticker,scan_date,c,gap,gap_pct,pm_high_pct,pm_vol,prev_close,prev_high,o,h,l,month
GLMD,2025-04-28,1.67,0.9200000000000002,58.59872611464969,70.70063694267516,60390556.0,1.57,1.6,2.49,2.68,1.61,2025-04
RGLS,2025-04-30,7.98,4.615,136.94362017804153,143.32344213649847,28566734.0,3.37,3.597,7.985,8.2,7.7,2025-04
JFBR,2025-04-30,25.33,14.620000000000001,101.17647058823532,111.76470588235294,5474060.7059,14.45,16.966,29.07,30.6,19.89,2025-04
IVF,2025-04-30,7.17,1.71,35.40372670807454,98.75776397515527,27529227.0,4.83,5.01,6.54,9.6,6.5103,2025-04
KIDZ,2025-05-01,5.36,1.2600000000000002,109.56521739130439,372.17391304347825,262873244.0,1.15,1.2,2.41,5.43,2.13,2025-05
ZCAR,2025-05-01,10.3,6.469999999999999,158.96805896805893,342.26044226044223,47595534.0,4.07,4.24,10.54,18.0,9.6,2025-05
FRGT,2025-05-02,8.32,8.5808,217.8310316815597,254.37652315190903,40991316.75,3.9392,4.8364,12.52,13.9596,7.72,2025-05
KIDZ,2025-05-02,7.18,2.794999999999999,52.14552238805968,98.69402985074626,112863552.0,5.36,5.43,8.155,10.65,6.07,2025-05
CNEY,2025-05-02,4.125,1.5875000000000004,44.78138222849085,50.21156558533146,6200203.88,3.545,3.6675,5.1325,5.325,3.7775,2025-05
GPUS,2025-05-05,7.75,1.7999999999999998,131.3868613138686,562.7737226277371,298219477.0,1.37,1.44,3.17,9.08,2.9401,2025-05
FOXO,2025-05-06,3.2039,2.7739,219.142044556802,274.16653499763,100231482.4121,1.2658,1.4332,4.0397,4.7362,2.7064,2025-05
KTTA,2025-05-06,1.52,0.79,55.633802816901415,166.90140845070425,225928787.0,1.42,1.455,2.21,3.79,1.45,2025-05
AIFU,2025-05-06,4.498,2.2319999999999998,90.36437246963561,126.72064777327931,20547642.95,2.47,2.944,4.702,5.6,4.0,2025-05
NCEW,2025-05-07,1.65,0.9300000000000002,41.70403587443947,78.02690582959642,46905782.0,2.23,2.2584,3.16,3.97,1.5,2025-05
CNEY,2025-05-07,4.8325,2.5324999999999998,62.53086419753085,62.53086419753087,9550848.72,4.05,4.205,6.5825,6.5825,4.3025,2025-05
ASST,2025-05-08,7.69,2.1599999999999997,63.71681415929202,159.58702064896758,241941265.0,3.39,3.41,5.55,8.8,5.0,2025-05
STI,2025-05-08,7.88,2.535,53.8788522848034,82.99681190223166,8513044.32,4.705,5.34,7.24,8.61,5.31,2025-05
WGRX,2025-05-08,3.0,2.2799999999999994,52.77777777777776,62.962962962962955,12585552.0,4.32,4.6232,6.6,7.04,2.84,2025-05
SYTA,2025-05-09,1.67,0.6703999999999999,68.4360963658636,104.1649652919559,142969110.0,0.9796,1.0089,1.65,2.0,1.41,2025-05
ZKIN,2025-05-09,3.99,1.6199999999999997,64.28571428571426,77.38095238095238,47048543.0,2.52,2.63,4.14,4.47,3.04,2025-05
SHPH,2025-05-09,5.8125,4.324999999999999,64.07407407407406,66.66666666666667,7434638.56,6.75,6.885,11.075,11.25,5.26,2025-05
KDLY,2025-05-12,13.69,24.615000000000002,631.1538461538462,706.4102564102564,65933973.0,3.9,4.15,28.515,31.45,13.24,2025-05
YHC,2025-05-12,2.19,1.86,93.46733668341709,286.9346733668342,60880008.0,1.99,2.25,3.85,7.7,1.85,2025-05
CTMX,2025-05-12,2.13,0.9715999999999999,104.65316673847478,134.81258078414479,114154461.0,0.9284,1.3,1.9,2.18,1.65,2025-05
NXTT,2025-05-12,3.27,1.6599999999999997,70.33898305084745,103.38983050847457,103212571.0,2.36,2.83,4.02,4.8,2.45,2025-05
GDC,2025-05-12,2.51,1.1749999999999998,53.40909090909089,79.54545454545455,12732109.0,2.2,2.39,3.375,3.95,2.01,2025-05
HCWB,2025-05-13,10.05,9.79,187.9078694817658,241.64875239923225,37607804.0,5.21,6.4504,15.0,17.7999,8.22,2025-05
LOBO,2025-05-13,1.23,1.2202,160.55263157894737,217.10526315789474,88520917.0,0.76,0.8401,1.9802,2.41,1.11,2025-05
CNSP,2025-05-13,16.32,14.760000000000002,101.65289256198349,139.66115702479337,7633282.5,14.52,16.56,29.28,34.7988,15.6,2025-05
LSEA,2025-05-13,11.27,4.215000000000001,60.08553100498932,60.65573770491803,24383118.0,7.015,7.2,11.23,11.27,11.21,2025-05
SEPN,2025-05-14,10.16,4.09,60.77265973254086,68.79643387815749,37815761.0,6.73,7.15,10.82,11.36,8.51,2025-05
LUCY,2025-05-14,2.9,1.02,51.515151515151516,63.63636363636365,38409978.0,1.98,2.01,3.0,3.24,2.37,2025-05
QNRX,2025-05-14,7.65,2.4699999999999998,38.836477987421375,51.415094339622634,9732471.0,6.36,6.3777,8.83,9.63,6.5528,2025-05
BLUE,2025-05-14,4.98,1.6599999999999997,50.15105740181268,50.755287009063444,9429448.0,3.31,3.34,4.97,4.99,4.95,2025-05
AYTU,2025-05-15,2.59,0.5899999999999999,43.70370370370369,100.0,63093404.0,1.35,1.4,1.94,2.7,1.6701,2025-05
FL,2025-05-15,23.9,10.730000000000002,83.3721833721834,86.16938616938619,83206173.0,12.87,13.24,23.6,23.96,23.405,2025-05
INZY,2025-05-16,3.95,2.5300000000000002,178.16901408450707,178.87323943661974,49878783.0,1.42,1.61,3.95,3.96,3.94,2025-05
CAPS,2025-05-16,2.45,1.0999999999999999,66.26506024096385,98.19277108433737,21665221.0,1.66,1.92,2.76,3.29,2.16,2025-05
TSSI,2025-05-16,15.44,4.130000000000001,46.56144306651636,84.89289740698986,29157873.0,8.87,9.21,13.0,16.4,12.4401,2025-05
AMST,2025-05-16,3.36,1.6098999999999997,71.8705357142857,81.69642857142856,64876125.0,2.24,2.47,3.8499,4.07,3.0201,2025-05
BON,2025-05-16,1.595,0.7424999999999999,57.00575815738963,62.188099808061416,12013808.52,1.3025,1.4675,2.045,2.1125,1.3725,2025-05
PTIX,2025-05-19,11.1,5.24,172.93729372937295,371.28712871287127,97394284.0,3.03,3.299,8.27,14.28,6.32,2025-05
NRXS,2025-05-20,3.99,3.3000000000000003,145.37444933920708,173.12775330396474,90735014.0,2.27,2.4446,5.57,6.2,3.49,2025-05
SYTA,2025-05-20,8.19,2.1799999999999997,53.56265356265355,107.37100737100734,128667790.0,4.07,4.2,6.25,8.44,5.62,2025-05
EYEN,2025-05-20,1.67,0.6500000000000001,57.52212389380532,59.29203539823011,49961376.0,1.13,1.1942,1.78,1.8,1.55,2025-05
QIPT,2025-05-20,2.14,0.5049999999999999,36.20071684587813,59.139784946236574,29806902.0,1.395,1.42,1.9,2.22,1.89,2025-05
SGMA,2025-05-21,2.97,1.6400000000000001,127.13178294573643,131.78294573643413,19031530.0,1.29,1.32,2.93,2.99,2.93,2025-05
VIGL,2025-05-22,7.88,5.5600000000000005,240.6926406926407,244.15584415584414,35553456.0,2.31,2.45,7.87,7.95,7.87,2025-05
NVTS,2025-05-22,5.05,2.995,156.8062827225131,174.869109947644,276487829.0,1.91,2.0599,4.905,5.25,4.03,2025-05
XAGE,2025-05-22,3.45,1.7899999999999996,58.496732026143775,61.76470588235294,21679852.0,3.06,3.63,4.85,4.95,3.4,2025-05
