ticker,date,entry_price,exit_price,shares,pnl_per_share,total_pnl,exit_reason,stop_loss,fade_50,fade_70,fade_85,prev_close,gap_pct,pm_high_pct,day_high,day_low,day_close
EMKR,2024-09-30,2.36,2.21,941,0.1499999999999999,141.14999999999992,eod_close,2.5725000000000002,1.785,1.555,1.3824999999999998,1.21,95.04132231404958,102.47933884297522,2.45,1.84,2.21
ZCMD,2024-09-30,2.2,2.46,495,-0.2599999999999998,-128.6999999999999,eod_close,2.604,1.7725,1.6015000000000001,1.47325,1.345,63.56877323420076,84.38661710037174,2.48,1.94,2.46
MGRX,2024-10-01,6.207,4.3401,108,1.8669000000000002,201.62520000000004,fade_70,8.04195,4.8735,4.3401,3.94005,3.54,75.33898305084745,116.35593220338984,7.659,4.2075,4.476
API,2024-10-02,6.03,4.390000000000001,277,1.6399999999999997,454.2799999999999,fade_50,6.7515,4.390000000000001,3.734,3.242,2.75,119.27272727272728,133.81818181818178,6.43,3.95,4.94
TOVX,2024-10-03,1.85,1.545,1133,0.30500000000000016,345.56500000000017,fade_50,2.0265,1.545,1.423,1.3315,1.24,49.19354838709678,55.64516129032258,1.93,1.51,1.79
BENF,2024-10-04,2.08,1.89,1197,0.19000000000000017,227.4300000000002,eod_close,2.2470000000000003,1.635,1.4569999999999999,1.3235,1.19,74.78991596638657,79.83193277310927,2.14,1.7,1.89
MYTE,2024-10-07,5.72,4.733,106,0.9870000000000001,104.62200000000001,fade_70,7.591395,5.015,4.733,4.5215,4.31,32.714617169373554,67.74709976798145,7.2299,4.67,6.76
LGMK,2024-10-07,4.2625,3.244,346,1.0185,352.401,fade_70,4.8405000000000005,3.535,3.244,3.02575,2.8075,51.82546749777382,64.20302760463046,4.61,3.1075,3.4075
SRRK,2024-10-07,26.34,34.28,20,-7.940000000000001,-158.8,eod_close,36.099000000000004,16.880000000000003,13.096,10.258,7.42,254.98652291105122,363.34231805929926,34.38,25.15,34.28
NAPA,2024-10-07,10.89,10.95,303,-0.05999999999999872,-18.179999999999612,eod_close,11.55,8.145,7.047000000000001,6.2235000000000005,5.4,101.66666666666666,103.70370370370368,11.0,10.86,10.95
ALCE,2024-10-08,7.75,4.347875,307,3.402125,1044.4523749999998,fade_85,8.4,5.748749999999999,4.94825,4.347875,3.7475,106.8045363575717,113.47565043362242,8.0,3.6025,3.6025
OTRK,2024-10-08,3.0,2.76,71,0.2400000000000002,17.040000000000013,eod_close,5.806500000000001,2.41,2.174,1.997,1.82,64.83516483516483,203.84615384615384,5.53,2.63,2.76
WW,2024-10-09,1.7,1.3219999999999998,1052,0.3780000000000001,397.6560000000001,fade_70,1.8900000000000001,1.43,1.3219999999999998,1.2409999999999999,1.16,46.55172413793104,55.17241379310347,1.8,1.28,1.6
MNTS,2024-10-09,9.338,14.84,32,-5.502000000000001,-176.06400000000002,eod_close,15.582,7.574,6.868399999999999,6.3392,5.81,60.722891566265055,155.42168674698797,14.84,8.414,14.84
ZENA,2024-10-11,2.77,2.27,395,0.5,197.5,fade_50,3.2758950000000002,2.27,2.07,1.92,1.77,56.49717514124294,76.26553672316383,3.1199,2.26,2.45
LBPH,2024-10-14,58.93,58.99,63,-0.060000000000002274,-3.7800000000001432,eod_close,62.076,48.915,44.909,41.9045,38.9,51.491002570694086,51.979434447300775,59.12,58.7,58.99
IVA,2024-10-14,2.58,2.67,484,-0.08999999999999986,-43.55999999999993,eod_close,2.9925,2.235,2.097,1.9934999999999998,1.89,36.50793650793652,50.79365079365081,2.85,2.29,2.67
XPON,2024-10-14,4.0,3.1950000000000003,432,0.8049999999999997,347.7599999999999,fade_50,4.4625,3.1950000000000003,2.873,2.6315,2.39,67.36401673640167,77.82426778242677,4.25,3.18,3.52
SGD,2024-10-15,5.8952,4.106205,279,1.788995,499.12960499999997,fade_85,6.609960000000001,4.84285,4.4219100000000005,4.106205,3.7905,55.52565624587784,66.07835377918481,6.2952,2.781,3.1905
VS,2024-10-16,3.74,3.95,31,-0.20999999999999996,-6.509999999999999,eod_close,10.0695,2.4450000000000003,1.927,1.5385,1.15,225.21739130434787,733.9130434782609,9.59,3.4801,3.95
ATNF,2024-10-16,14.25,7.885,45,6.365,286.425,fade_50,18.6375,7.885,5.339,3.4295,1.52,837.5,1067.7631578947369,17.75,6.3,6.47
WVE,2024-10-16,12.045,14.9,46,-2.8550000000000004,-131.33,eod_close,16.317,10.3025,9.605500000000001,9.08275,8.56,40.7126168224299,81.54205607476635,15.54,11.98,14.9
PIXY,2024-10-17,13.11,9.305,88,3.8049999999999997,334.84,fade_50,15.371895000000002,9.305,7.7829999999999995,6.6415,5.5,138.36363636363635,166.18,14.6399,7.87,8.44
NIXX,2024-10-17,7.56,3.1485,146,4.4115,644.0790000000001,fade_85,8.925,4.965,3.9269999999999996,3.1485,2.37,218.98734177215186,258.64978902953584,8.5,2.61,2.7
STAF,2024-10-17,3.9,2.115,96,1.7849999999999997,171.35999999999996,fade_70,5.974395,2.625,2.115,1.7325,1.35,188.88888888888886,321.47407407407405,5.6899,2.035,2.32
VTAK,2024-10-18,24.89,16.63165,20,8.25835,165.167,fade_50,34.713,16.63165,13.32831,10.850805000000001,8.3733,197.25436805082822,294.8264125255276,33.06,16.2868,17.29
DRUG,2024-10-18,34.6,47.21,4,-12.61,-50.44,eod_close,82.971,28.15,25.57,23.634999999999998,21.7,59.44700460829494,264.147465437788,79.02,34.0,47.21
HEPS,2024-10-18,3.53,3.51,276,0.020000000000000018,5.520000000000005,eod_close,4.2525,2.865,2.599,2.3995,2.2,60.454545454545425,84.09090909090907,4.05,2.9,3.51
ISPC,2024-10-21,7.28,5.92,139,1.3600000000000003,189.04000000000005,fade_50,8.715000000000002,5.92,5.3759999999999994,4.968,4.56,59.64912280701756,82.01754385964915,8.3,5.57,6.3
SYTA,2024-10-21,26.5,18.299999999999997,48,8.200000000000003,393.60000000000014,fade_50,30.66,18.299999999999997,15.02,12.559999999999999,10.1,162.37623762376236,189.1089108910891,29.2,16.8,18.4
BIVI,2024-10-21,41.0,26.125,5,14.875,74.375,fade_85,78.75,32.25,28.75,26.125,23.5,74.46808510638297,219.14893617021275,75.0,24.1,26.3
GRI,2024-10-21,28.39,19.125,56,9.265,518.84,fade_50,31.9515,19.125,15.419,12.6395,9.86,187.93103448275866,208.6206896551724,30.43,17.68,22.44
SAVE,2024-10-21,2.05,2.25,324,-0.20000000000000018,-64.80000000000005,eod_close,2.6670000000000003,1.7599999999999998,1.644,1.557,1.47,39.45578231292516,72.78911564625852,2.54,1.85,2.25
ENSC,2024-10-22,7.848,8.085,39,-0.237000000000001,-9.243000000000038,eod_close,12.9402,5.468999999999999,4.5174,3.8037,3.09,153.98058252427185,298.83495145631065,12.324,6.468,8.085
HYZN,2024-10-22,3.32,2.1385,1069,1.1814999999999998,1263.0234999999998,fade_85,3.507,2.625,2.347,2.1385,1.93,72.02072538860104,73.05699481865284,3.34,2.11,2.55
GNPX,2024-10-22,3.39,2.45,256,0.94,240.64,fade_50,4.168500000000001,2.45,2.074,1.792,1.51,124.50331125827816,162.91390728476824,3.97,2.43,3.59
DBVT,2024-10-23,5.05,3.7325,297,1.3175,391.29749999999996,fade_85,5.7225,4.275,3.965,3.7325,3.5,44.28571428571428,55.714285714285715,5.45,3.001,3.4005
VRAX,2024-10-23,3.33,2.505,424,0.8250000000000002,349.80000000000007,fade_50,3.801,2.505,2.175,1.9275,1.68,98.21428571428572,115.47619047619051,3.62,2.36,2.52
NXU,2024-10-24,14.838,11.972,40,2.8659999999999997,114.63999999999999,eod_close,19.740000000000002,9.922,7.9556000000000004,6.4808,5.006,196.4043148222133,275.5493407910508,18.8,10.224,11.972
LGCB,2024-10-24,4.782,3.3070999999999997,110,1.4749000000000003,162.23900000000003,fade_70,6.59505,3.7285,3.3070999999999997,2.99105,2.675,78.76635514018693,134.80373831775702,6.281,3.155,3.33
CCTG,2024-10-24,2.61,2.17495,278,0.43504999999999994,120.94389999999999,fade_50,3.3285,2.17495,2.00093,1.870415,1.7399,50.00862118512558,82.19437898729811,3.17,2.1,2.41
ZENA,2024-10-24,2.91,2.105,1201,0.8050000000000002,966.8050000000002,fade_70,3.0765000000000002,2.335,2.105,1.9325,1.76,65.3409090909091,66.47727272727273,2.93,2.03,2.16
AMIX,2024-10-28,19.22,13.465,59,5.754999999999999,339.54499999999996,fade_50,22.5645,13.465,11.163,9.436499999999999,7.71,149.2866407263294,178.72892347600518,21.49,11.81,12.38
EVOK,2024-10-28,11.11,7.042999999999999,109,4.067,443.303,fade_70,12.935895,8.205,7.042999999999999,6.1715,5.3,109.62264150943395,132.45094339622642,12.3199,6.83,7.08
GMM,2024-10-28,8.349,6.8107500000000005,74,1.5382499999999997,113.83049999999997,fade_50,11.025,6.8107500000000005,6.19545,5.733975,5.2725,58.349928876244675,99.14651493598863,10.5,6.33,7.05
GLYC,2024-10-29,38.21,49.0,7,-10.79,-75.53,eod_close,66.15,27.515,23.237000000000002,20.0285,16.82,127.17003567181926,274.5541022592152,63.0,32.11,49.0
LIXT,2024-10-29,2.16,2.08,572,0.08000000000000007,45.76000000000004,eod_close,2.5095,1.735,1.565,1.4375,1.31,64.88549618320612,82.44274809160305,2.39,1.75,2.08
LUCY,2024-10-29,10.04,7.198,227,2.8419999999999987,645.1339999999997,fade_70,10.920000000000002,8.01,7.198,6.589,5.98,67.89297658862874,73.91304347826086,10.4,7.12,7.71
STI,2024-10-30,32.86,23.718,60,9.142,548.52,fade_70,36.17250000000001,26.33,23.718,21.759,19.8,65.95959595959596,73.989898989899,34.45,22.6,23.565
THAR,2024-10-30,5.7099,3.1339699999999997,200,2.5759300000000005,515.1860000000001,fade_70,6.7095,3.8699500000000002,3.1339699999999997,2.581985,2.03,181.27586206896555,214.7783251231527,6.39,3.0801,3.43
ASPI,2024-10-30,8.55,7.155,175,1.3950000000000005,244.12500000000009,fade_50,9.691500000000001,7.155,6.597,6.1785,5.76,48.437500000000014,60.24305555555556,9.23,6.8373,6.9
EFSH,2024-10-31,5.025,3.2298,336,1.7952000000000004,603.1872000000001,fade_85,5.6196,3.9690000000000003,3.5465999999999998,3.2298,2.913,72.50257466529354,83.72811534500516,5.352,3.1425,3.975
AMIX,2024-10-31,15.49,11.815,79,3.6750000000000007,290.32500000000005,fade_70,18.007395,12.865,11.815,11.0275,10.24,51.26953125,67.47949218749997,17.1499,11.81,14.31
ROOT,2024-10-31,81.48,68.39,4,13.090000000000003,52.360000000000014,eod_close,124.0575,60.985,52.787000000000006,46.6385,40.49,101.23487280810077,191.8004445542109,118.15,63.12,68.39
UUU,2024-10-31,2.01,2.19,437,-0.18000000000000016,-78.66000000000007,eod_close,2.4675000000000002,1.73,1.6179999999999999,1.534,1.45,38.6206896551724,62.068965517241395,2.35,1.75,2.19
TOVX,2024-11-01,2.19,1.825,343,0.365,125.195,fade_50,2.7720000000000002,1.825,1.679,1.5695,1.46,50.0,80.82191780821918,2.64,1.76,1.99
ADN,2024-11-04,4.23,3.0650000000000004,653,1.165,760.745,fade_50,4.5360000000000005,3.0650000000000004,2.599,2.2495,1.9,122.63157894736845,127.36842105263162,4.32,2.855,3.35
STAF,2024-11-04,3.1,2.84,285,0.26000000000000023,74.10000000000007,eod_close,3.801,2.4,2.12,1.91,1.7,82.3529411764706,112.94117647058823,3.62,2.48,2.84
AGFY,2024-11-05,5.51,3.851,485,1.6589999999999998,804.6149999999999,fade_70,5.922,4.325,3.851,3.4955,3.14,75.47770700636941,79.61783439490443,5.64,3.82,4.4
ZVSA,2024-11-05,2.66,2.54,227,0.1200000000000001,27.240000000000023,eod_close,3.5385000000000004,2.24,2.072,1.9460000000000002,1.82,46.15384615384615,85.16483516483517,3.37,2.3501,2.54
ALBT,2024-11-05,4.11,3.6,245,0.5100000000000002,124.95000000000006,eod_close,4.924500000000001,3.1750000000000003,2.801,2.5205,2.24,83.48214285714285,109.375,4.69,3.2101,3.6
FOXO,2024-11-06,5.413,15.574,11,-10.161,-111.771,eod_close,22.1487,4.0605,3.5195000000000003,3.11375,2.708,99.88921713441654,678.9512555391433,21.094,5.008,15.574
DATS,2024-11-06,3.49,2.3,689,1.1900000000000004,819.9100000000003,fade_70,3.7800000000000002,2.64,2.3,2.045,1.79,94.97206703910615,101.1173184357542,3.6,2.16,2.24
SONN,2024-11-06,9.98,5.0755,369,4.9045000000000005,1809.7605,fade_85,10.521,7.095000000000001,5.941,5.0755,4.21,137.05463182897864,138.0047505938242,10.02,3.4,3.73
INDI,2024-11-08,4.64,5.48,173,-0.8400000000000007,-145.32000000000014,eod_close,5.795999999999999,4.035,3.793,3.6115,3.43,35.27696793002914,60.93294460641396,5.52,4.6,5.48
TIVC,2024-11-08,7.7299,6.0792,51,1.6506999999999996,84.18569999999998,fade_50,11.602500000000001,6.0792,5.41892,4.92371,4.4285,74.5489443378119,149.52015355086377,11.05,5.7001,6.9003
XBP,2024-11-12,1.47,1.1895,1904,0.28049999999999997,534.0719999999999,fade_50,1.5750000000000002,1.1895,1.0773,0.99315,0.909,61.716171617161706,65.01650165016501,1.5,1.18,1.33
BTCT,2024-11-12,4.72,10.5,15,-5.78,-86.7,eod_close,17.85,3.62,3.1799999999999997,2.85,2.52,87.30158730158729,574.6031746031746,17.0,4.08,10.5
LGMK,2024-11-12,5.3525,4.33875,100,1.01375,101.375,fade_50,7.3500000000000005,4.33875,3.93325,3.629125,3.325,60.97744360902255,110.52631578947367,7.0,4.3,4.4625
NMHI,2024-11-13,4.02,3.2954999999999997,62,0.7244999999999999,44.919,fade_50,7.20405,3.2954999999999997,3.0057,2.78835,2.571,56.35939323220535,166.86114352392062,6.861,3.201,4.26
BTCT,2024-11-13,22.53,16.515,37,6.015000000000001,222.555,fade_50,27.909,16.515,14.109,12.3045,10.5,114.57142857142858,153.1428571428571,26.58,15.36,17.65
KXIN,2024-11-13,5.045,3.9825,76,1.0625,80.75,fade_50,7.665,3.9825,3.5575,3.23875,2.92,72.77397260273972,150.0,7.3,3.91,4.18
GXAI,2024-11-14,2.03,1.6239999999999999,342,0.4059999999999999,138.85199999999998,fade_70,2.6145000000000005,1.7399999999999998,1.6239999999999999,1.537,1.45,39.99999999999999,71.72413793103449,2.49,1.61,1.76
UAVS,2024-11-14,3.03,3.58,95,-0.5500000000000003,-52.25000000000003,eod_close,5.124,2.32,2.036,1.823,1.61,88.19875776397514,203.1055900621118,4.88,2.76,3.58
GREE,2024-11-15,3.81,2.6710000000000003,905,1.1389999999999998,1030.7949999999998,fade_85,4.03095,3.14,2.8720000000000003,2.6710000000000003,2.47,54.25101214574898,55.42510121457489,3.839,2.58,2.67
BENF,2024-11-15,1.77,1.328,282,0.44199999999999995,124.64399999999999,fade_85,2.4779999999999998,1.51,1.406,1.328,1.25,41.6,88.79999999999998,2.36,1.14,1.2
SPPL,2024-11-15,9.92,10.16,39,-0.2400000000000002,-9.360000000000008,eod_close,14.952000000000002,8.492,7.9208,7.4924,7.064,40.43035107587769,101.58550396375992,14.24,8.56,10.16
BE,2024-11-15,20.95,21.14,74,-0.19000000000000128,-14.060000000000095,eod_close,23.625,17.115,15.581,14.430499999999999,13.28,57.75602409638555,69.42771084337349,22.5,17.8,21.14
UAVS,2024-11-18,4.69,3.795,252,0.8950000000000005,225.5400000000001,fade_50,5.481,3.795,3.4370000000000003,3.1685,2.9,61.724137931034505,80.0,5.22,3.62,3.89
HCWB,2024-11-18,36.42,49.6,2,-13.18,-26.36,eod_close,105.84,24.102000000000004,19.1748,15.479400000000002,11.784,209.06313645621185,755.3971486761711,100.8,34.0,49.6
APLM,2024-11-18,18.41,19.38,10,-0.9699999999999989,-9.699999999999989,eod_close,37.778999999999996,14.0,12.236,10.913,9.59,91.97080291970804,275.18248175182475,35.98,14.73,19.38
SOAR,2024-11-19,13.75,11.7475,31,2.0024999999999995,62.077499999999986,eod_close,20.012999999999998,9.5125,7.817500000000001,6.546250000000001,5.275,160.6635071090047,261.3270142180094,19.06,9.9,11.7475
PRFX,2024-11-19,4.56,5.6,64,-1.04,-66.56,eod_close,7.644000000000001,3.3499999999999996,2.866,2.503,2.14,113.08411214953269,240.18691588785046,7.28,3.748,5.6
TNXP,2024-11-20,26.15,19.233999999999998,69,6.916,477.204,fade_70,29.0115,21.21,19.233999999999998,17.752,16.27,60.72526121696373,69.82175783650891,27.63,18.22,19.0
FBRX,2024-11-20,10.46,13.55,21,-3.09,-64.89,eod_close,19.7505,8.19255,7.28557,6.605335,5.9251,76.53710485898975,217.46299640512396,18.81,8.7914,13.55
SPAI,2024-11-21,6.1767,4.68835,308,1.4883500000000005,458.41180000000014,fade_50,6.824895000000001,4.68835,4.0930100000000005,3.6465050000000003,3.2,93.021875,103.12187499999999,6.4999,4.1,4.47
WORX,2024-11-21,1.66,2.12,162,-0.4600000000000002,-74.52000000000002,eod_close,2.8875,1.3199999999999998,1.184,1.082,0.98,69.38775510204081,180.6122448979592,2.75,1.5801,2.12
CTV,2024-11-21,2.9901,3.01,941,-0.019899999999999807,-18.725899999999818,eod_close,3.2025,2.30505,2.03103,1.825515,1.62,84.57407407407406,88.27160493827158,3.05,2.98,3.01
RGTI,2024-11-25,2.63,2.75,220,-0.1200000000000001,-26.400000000000023,eod_close,3.5385000000000004,2.185,2.007,1.8735,1.74,51.14942528735632,93.67816091954025,3.37,2.37,2.75
VSTE,2024-11-25,2.5,2.075,1277,0.4249999999999998,542.7249999999998,fade_50,2.6565,2.075,1.9049999999999998,1.7774999999999999,1.65,51.51515151515152,53.33333333333332,2.53,1.94,2.13
KULR,2024-11-25,5.2808,6.32,107,-1.0392000000000001,-111.19440000000002,eod_close,7.14,4.4208,4.0768,3.8188,3.5608,48.30375196585038,90.96832172545494,6.8,4.8104,6.32
QMCO,2024-11-25,13.66,21.77,12,-8.11,-97.32,eod_close,29.168895000000003,11.395,10.489,9.8095,9.13,49.616648411829125,204.2705366922234,27.7799,13.5,21.77
IDAI,2024-11-26,5.4135,5.475,89,-0.061499999999999666,-5.47349999999997,eod_close,7.652925000000001,4.05675,3.51405,3.107025,2.7,100.49999999999999,169.9444444444444,7.2885,4.6654,5.475
TOYO,2024-11-26,5.52,5.41,259,0.10999999999999943,28.489999999999853,eod_close,6.2895,4.21,3.686,3.2929999999999997,2.9,90.34482758620689,106.55172413793106,5.99,4.45,5.41
PSTX,2024-11-26,9.28,9.38,333,-0.10000000000000142,-33.30000000000047,eod_close,9.880500000000001,6.07,4.786,3.823,2.86,224.4755244755245,229.02097902097904,9.41,9.25,9.38
ZENA,2024-11-26,12.19,8.151,232,4.039,937.0479999999999,fade_70,13.0515,9.305,8.151,7.2855,6.42,89.87538940809968,93.61370716510903,12.43,8.0,10.3
CYCN,2024-11-27,2.15,1.755,651,0.395,257.14500000000004,fade_50,2.457,1.755,1.597,1.4785000000000001,1.36,58.08823529411763,72.05882352941175,2.34,1.72,2.16
VCIG,2024-11-27,49.8,82.0,1,-32.2,-32.2,eod_close,162.54000000000002,42.8,40.0,37.9,35.8,39.106145251396654,332.40223463687164,154.8,46.6,82.0
UMAC,2024-11-27,10.159,7.759500000000001,95,2.3994999999999997,227.9525,fade_50,12.2535,7.759500000000001,6.7997000000000005,6.07985,5.36,89.53358208955224,117.72388059701493,11.67,7.19,9.89
IDAI,2024-11-27,10.461,7.968,65,2.4930000000000003,162.04500000000002,fade_50,13.518225,7.968,6.9708,6.2229,5.475,91.06849315068494,135.15068493150687,12.8745,7.8495,12.6
HWH,2024-11-27,4.5995,4.7665,134,-0.16699999999999982,-22.377999999999975,eod_close,6.09,3.71225,3.3573500000000003,3.0911750000000002,2.825,62.814159292035384,105.3097345132743,5.8,3.752,4.7665
JCSE,2024-12-02,1.88,1.397,681,0.4829999999999999,328.9229999999999,fade_70,2.173395,1.535,1.397,1.2934999999999999,1.19,57.98319327731092,73.94117647058825,2.0699,1.33,1.79
KULR,2024-12-02,13.04,11.16,120,1.879999999999999,225.59999999999988,fade_50,14.699160000000001,11.16,10.408,9.844,9.28,40.51724137931035,50.85344827586209,13.9992,10.64,11.28
NVCR,2024-12-02,28.25,29.85,40,-1.6000000000000014,-64.00000000000006,eod_close,33.1485,24.145,22.503,21.2715,20.04,40.96806387225549,57.53493013972057,31.57,25.0,29.85
SNTI,2024-12-02,7.09,10.0,18,-2.91,-52.38,eod_close,17.787000000000003,4.625,3.6390000000000002,2.8995,2.16,228.2407407407407,684.2592592592592,16.94,6.55,10.0
MOB,2024-12-02,2.46,2.04,375,0.41999999999999993,157.49999999999997,fade_70,2.9925,2.16,2.04,1.9500000000000002,1.86,32.258064516129025,53.2258064516129,2.85,2.02,2.41
PPBT,2024-12-02,4.99,8.4,20,-3.41,-68.2,eod_close,14.647499999999999,4.1725,3.8455,3.60025,3.355,48.733233979135626,315.7973174366616,13.95,4.25,8.4
SOAR,2024-12-03,10.0025,9.15,100,0.8524999999999991,85.24999999999991,eod_close,11.983125,7.77375,6.88225,6.2136249999999995,5.545,80.38773669972949,105.81605049594228,11.4125,8.1,9.15
