ticker,v,vw,o,c,h,l,t,n,date,v_prev,vw_prev,o_prev,c_prev,h_prev,l_prev,t_prev,n_prev,date_prev,pm_high,pm_vol,prev_close,prev_high,gap,prev_volume,trig_day,prev_close_1,d2,scan_date,valid_last_close,valid_ema200,valid_ema_ratio,valid_market_cap,valid_hist_days,gap_pct,pm_high_pct,open_prev_high_pct
ELAB,11029167.1429,24.6197,27.72,21.7,28.49,19.46,1737752400000,438535.0,2025-01-24,20636.5714,13.944,14.07,13.86,14.35,13.65,1737666000000,1018.0,2025-01-23,28.49,11029167.1429,13.86,14.35,13.86,20636.5714,1,,0,2025-01-24,13.86,606.6106717119508,0.022848262726544027,6.08425686,293,100.0,105.55555555555554,93.17073170731706
ALUR,70612146.0,11.4095,16.79,8.69,16.81,7.3904,1737752400000,802475.0,2025-01-24,5091617.0,6.3332,3.06,3.7,3.7,2.75,1737666000000,53573.0,2025-01-23,16.81,70612146.0,3.7,3.7,13.09,5091617.0,1,,0,2025-01-24,3.7,27.174730456433004,0.1361559043219179,13.1461518,343,353.78378378378375,354.32432432432427,353.7837837837837
EVAX,55785416.0,7.0827,6.97,6.03,9.8,4.81,1737752400000,513814.0,2025-01-24,4135334.0,4.8653,2.4,3.64,4.19,2.39,1737666000000,39197.0,2025-01-23,9.8,55785416.0,3.64,4.19,3.3299999999999996,4135334.0,1,,0,2025-01-24,3.64,13.641673785878181,0.2668294270288238,4.27048804,343,91.48351648351647,169.23076923076925,66.34844868735081
HOLO,5138662.0,85.54,103.2,67.2,103.6,66.0,1738011600000,492138.0,2025-01-27,388327.8,64.828,63.64,62.0,71.2,61.2,1737752400000,28378.0,2025-01-24,103.6,5138662.0,62.0,71.2,41.2,388327.8,1,,0,2025-01-27,62.0,1232.5806253818207,0.05030096914008692,31.8435069,341,66.45161290322581,67.09677419354838,44.9438202247191
BACK,58877183.0,1.5119,1.37,1.22,1.56,1.05,1738098000000,248333.0,2025-01-28,5279067.0,1.2566,0.7401,0.829,0.8838,0.74,1738011600000,21903.0,2025-01-27,1.56,58877183.0,0.829,0.8838,0.5410000000000001,5279067.0,1,,0,2025-01-28,0.829,1.5690622422597802,0.5283410547220009,1.682757256,341,65.25934861278651,88.17852834740654,55.012446254808786
NLSP,61242764.0,2.8979,3.03,2.49,3.37,2.29,1738357200000,396982.0,2025-01-31,256573.0,1.9811,1.85,1.98,2.019,1.85,1738270800000,1303.0,2025-01-30,3.37,61242764.0,1.98,2.019,1.0499999999999998,256573.0,1,,0,2025-01-31,1.98,6.4537389000803325,0.30679890070782906,5.783235479999999,343,53.03030303030302,70.2020202020202,50.074294205051984
HCWB,8616147.2,30.992,39.144,25.436,41.2,21.736,1738616400000,619515.0,2025-02-03,2466.8,10.952,10.48,11.128,11.576,10.44,1738357200000,218.0,2025-01-31,41.2,8616147.2,11.128,11.576,28.016,2466.8,1,,0,2025-02-03,11.128,27.29136626339398,0.4077479995908461,12.3911376108,337,251.76132278936018,270.2372393961179,238.14789219073944
VLCN,6948656.875,52.5528,45.68,25.6,80.8,24.4808,1738702800000,444872.0,2025-02-04,5791.5,26.7808,25.44,26.72,27.04,25.44,1738616400000,234.0,2025-02-03,80.8,6948656.875,26.72,27.04,18.96,5791.5,1,,0,2025-02-04,26.72,26279.643318903123,0.001016756569933357,1.87341268,341,70.95808383233533,202.39520958083835,68.93491124260356
EVAX,62828962.0,3.977,3.93,3.27,4.05,2.93,1738702800000,452675.0,2025-02-04,4187447.0,3.062,2.35,2.4,2.426,2.22,1738616400000,25387.0,2025-02-03,4.05,62828962.0,2.4,2.426,1.5300000000000002,4187447.0,1,,0,2025-02-04,2.4,12.911975833678973,0.18587395383284067,15.0397728,341,63.750000000000014,68.75,61.99505358615003
AZTR,37343845.9459,3.1182,3.4965,2.1578,3.9154,1.6151,1738702800000,369699.0,2025-02-04,1114684.985,2.2424,1.6643,1.8548,1.8648,1.6224,1738616400000,9295.0,2025-02-03,3.9154,37343845.9459,1.8548,1.8648,1.6417000000000002,1114684.985,1,,0,2025-02-04,1.8548,34.158852735082824,0.05429924752990984,3.4767483260000005,337,88.510890662066,111.09553590683632,87.5
OGEN,8263239.4667,14.517,16.023,8.88,18.897,7.626,1738789200000,375371.0,2025-02-05,461176.9333,13.623,8.466,8.523,8.76,7.8,1738702800000,22161.0,2025-02-04,18.897,8263239.4667,8.523,8.76,7.5,461176.9333,1,,0,2025-02-05,8.523,27.415887465991055,0.3108781362840301,3.8949556005000003,342,87.99718409010912,121.7177050334389,82.9109589041096
KTTA,61494899.0,3.3765,3.63,2.74,3.85,2.67,1738789200000,431087.0,2025-02-05,10798.0,2.1112,2.12,2.08,2.18,2.03,1738702800000,133.0,2025-02-04,3.85,61494899.0,2.08,2.18,1.5499999999999998,10798.0,1,,0,2025-02-05,2.08,4.3579256283770835,0.4772913026454295,2.63416816,334,74.51923076923076,85.09615384615385,66.51376146788989
LIPO,86928043.0,5.6139,6.6,4.65,7.31,4.07,1738875600000,749551.0,2025-02-06,11942.0,2.5778,2.63,2.58,2.63,2.55,1738789200000,145.0,2025-02-05,7.31,86928043.0,2.58,2.63,4.02,11942.0,1,,0,2025-02-06,2.58,4.116375498895661,0.6267649782416985,3.11901102,342,155.81395348837208,183.33333333333331,150.95057034220534
CDT,9613325.4,45.5445,40.05,42.75,55.5,33.75,1738962000000,648539.0,2025-02-07,43990.3333,24.3765,25.95,23.25,27.3,21.75,1738875600000,3530.0,2025-02-06,55.5,9613325.4,23.25,27.3,16.799999999999997,43990.3333,1,,0,2025-02-07,23.25,1266.8508907760624,0.01835259395504489,2.38436655,343,72.25806451612901,138.70967741935485,46.703296703296694
PNBK,54047327.0,2.4991,2.36,2.35,2.47,1.98,1739221200000,365945.0,2025-02-10,279460.0,1.5519,1.48,1.45,1.52,1.37,1738962000000,1237.0,2025-02-07,2.47,54047327.0,1.45,1.52,0.9099999999999999,279460.0,1,,0,2025-02-10,1.45,2.387649597370027,0.6072917908880604,5.76530585,302,62.75862068965517,70.34482758620693,55.263157894736835
CYN,13908267.1733,21.66,13.275,27.705,29.55,12.15,1739221200000,751543.0,2025-02-10,906785.9,9.387,8.925,9.03,10.2,8.55,1738962000000,62460.0,2025-02-07,29.55,13908267.1733,9.03,10.2,4.245000000000001,906785.9,1,,0,2025-02-10,9.03,993.0160401910858,0.009093508699277766,1.2945519972,341,47.00996677740865,227.24252491694355,30.147058823529417
LIPO,40012343.0,4.5877,4.58,4.32,4.69,3.81,1739307600000,300653.0,2025-02-11,576347.0,2.9423,2.89,3.05,3.16,2.82,1739221200000,4882.0,2025-02-10,4.69,40012343.0,3.05,3.16,1.5300000000000002,576347.0,1,,0,2025-02-11,3.05,4.113763951532225,0.7414134685253362,3.6872029499999996,341,50.16393442622952,53.77049180327871,44.93670886075949
INAB,7561146.7333,13.755,11.958,9.204,12.531,8.7,1739307600000,318131.0,2025-02-11,17297.6,8.118,7.8,8.103,8.37,7.8,1739221200000,892.0,2025-02-10,12.531,7561146.7333,8.103,8.37,3.8550000000000004,17297.6,1,,0,2025-02-11,8.103,15.563979049582349,0.5206252189228846,19.5777266353,341,47.57497223250648,54.646427249167,42.86738351254482
TIVC,30368747.0,9.4622,6.5518,11.9,11.9272,5.9638,1739394000000,685532.0,2025-02-12,8268.3529,3.9508,3.9134,3.995,4.0783,3.91,1739307600000,297.0,2025-02-11,11.9272,30368747.0,3.995,4.0783,2.5568,8268.3529,1,,0,2025-02-12,3.995,8.074724546820288,0.4947537190693612,2.2248218449999997,342,64.0,198.55319148936167,60.650270946227614
