symbol,date,trend_atr,gap_atr,extension_atr,range_close_pct,volume_multiple,change_atr,fade_atr,days_since_high,trend_start,euphoric_high,fade_type,consecutive_reds,outlier_volume,outlier_range_atr,dev_band_upper_05,d0_open,d0_high,d_minus_1_avg_dollar_vol_20d,scanner_version,setup_grade
AAPL,2024-06-27,13.91,0.42,1.19,61.8,0.75,1.23,2.05,14,2024-05-02,2024-06-12,multiple_red,3,3.01,3.98,212.88,214.69,215.74,18205.4,V11,B
AAPL,2024-06-27,13.91,0.42,1.19,61.8,0.75,1.23,2.05,14,2024-05-02,2024-06-12,multiple_red,3,3.01,3.98,212.88,214.69,215.74,18205.4,V11,B
MRVL,2024-06-13,4.17,0.51,1.32,98.2,0.85,1.24,2.12,15,2024-05-10,2024-05-28,multiple_red,3,3.29,3.91,72.51,74.59,75.7,872.7,V11,B
GME,2024-05-28,35.17,2.91,3.83,65.7,0.76,0.49,33.33,10,2024-05-03,2024-05-14,multiple_red,3,6.49,25.09,25.88,23.1,26.66,1670.2,V11,B
GME,2024-05-28,35.17,2.91,3.83,65.7,0.76,0.49,33.33,10,2024-05-03,2024-05-14,multiple_red,3,6.49,25.09,25.88,23.1,26.66,1670.2,V11,B
GME,2024-05-28,35.17,2.91,3.83,65.7,0.76,0.49,33.33,10,2024-05-03,2024-05-14,multiple_red,3,6.49,25.09,25.88,23.1,26.66,1670.2,V11,B
MSTR,2024-05-06,22.31,0.83,1.65,72.5,1.0,1.54,12.81,37,2024-02-09,2024-03-27,multiple_red,4,1.21,7.28,126.58,127.38,133.9,2008.6,V11,B
MSTR,2024-05-06,22.31,0.83,1.65,72.5,1.0,1.54,12.81,37,2024-02-09,2024-03-27,multiple_red,4,1.21,7.28,126.58,127.38,133.9,2008.6,V11,B
SPY,2024-05-06,18.62,0.51,1.09,68.4,1.01,1.31,2.79,36,2023-11-06,2024-03-28,multiple_red,6,1.29,2.49,511.17,513.75,516.61,36489.5,V11,B
SPY,2024-05-03,18.73,1.28,2.43,86.4,0.87,0.99,4.12,35,2023-11-06,2024-03-28,multiple_red,6,1.29,2.49,509.09,511.16,512.55,36561.8,V11,B
AMZN,2024-04-29,10.77,0.88,1.86,74.4,1.14,1.67,2.85,15,2024-01-09,2024-04-11,multiple_red,3,1.29,2.14,181.74,182.75,183.53,6965.9,V11,B
SPY,2024-04-26,18.98,0.61,1.89,88.5,0.92,0.41,4.51,28,2023-11-06,2024-03-28,multiple_red,6,1.29,2.49,508.25,506.35,509.88,38308.5,V11,B
MSFT,2024-04-26,8.19,1.91,3.51,92.8,2.11,1.46,4.64,35,2024-01-08,2024-03-21,multiple_red,6,2.11,1.73,411.85,412.17,413.0,7964.9,V11,B
MSFT,2024-04-26,8.19,1.91,3.51,92.8,2.11,1.46,4.64,35,2024-01-08,2024-03-21,multiple_red,6,2.11,1.73,411.85,412.17,413.0,7964.9,V11,B
JPM,2024-04-23,22.36,0.68,2.03,82.8,1.09,1.42,4.55,21,2023-11-09,2024-04-01,multiple_red,7,3.18,2.56,190.34,191.13,192.22,2007.2,V11,B
SMCI,2024-04-17,25.0,0.42,2.63,94.2,1.28,2.5,6.76,39,2023-12-14,2024-03-08,multiple_red,4,0.75,4.62,97.18,99.2,102.03,5372.5,V11,B
SMCI,2024-04-17,25.0,0.42,2.63,94.2,1.28,2.5,6.76,39,2023-12-14,2024-03-08,multiple_red,4,0.75,4.62,97.18,99.2,102.03,5372.5,V11,B
